CBO;Cargo;Jornada;Piso;Média;Maior;Salário/Hora
612510;Abacaxicultor;43;1550,11;2183,25;3299,39;10,16
263105;Abade;42;1851,01;2607,06;3939,87;12,49
263105;Abadessa;42;1851,01;2607,06;3939,87;12,49
622020;Abanador na agricultura;44;954;1183,46;1788,48;5,39
862120;Abastecedor de caldeira;43;1177,83;1658,91;2507,00;7,64
862160;Abastecedor de combustível de aeronave;44;1033,97;1456,29;2200,79;6,68
784205;Abastecedor de linha de produção;44;954;1288,50;1947,22;5,89
784205;Abastecedor de máquinas de linha de produção;44;954;1288,50;1947,22;5,89
632605;Abastecedor de silos de carvão;43;954;1137,06;1718,37;5,28
848505;Abatedor;44;954;1256,29;1898,54;5,73
632125;Abatedor - na extração de madeira;44;954;1107,52;1673,72;5,04
848505;Abatedor de animais;44;954;1256,29;1898,54;5,73
848505;Abatedor de aves;44;954;1256,29;1898,54;5,73
848505;Abatedor de gado;44;954;1256,29;1898,54;5,73
848505;Abatedor de galinha;44;954;1256,29;1898,54;5,73
848505;Abatedor de porco;44;954;1256,29;1898,54;5,73
848505;Abatedor em matadouro;44;954;1256,29;1898,54;5,73
613405;Abelheiro;44;954;1130,45;1708,37;5,15
711410;Abridor - nas salinas;44;954;1100,11;1662,52;5,02
761205;Abridor de lã;44;954;1254,32;1895,56;5,74
768125;Acabador de chapéus de palha;44;954;1012,27;1529,78;4,6
766305;Acabador de embalagens (flexíveis e cartotécnicas);44;1012,15;1425,57;2154,36;6,51
722305;Acabador de macho - na fundição;44;954;1254,99;1896,58;5,72
716525;Acabador de mármore e granito;44;1149,39;1618,85;2446,46;7,37
722315;Acabador de moldes (fundição);43;1019,97;1436,58;2171,00;6,63
712220;Acabador de pedras;44;1044,12;1470,60;2222,41;6,73
716105;Acabador de superfícies de concreto;44;1101,44;1551,33;2344,41;7,07
715205;Acafelador;44;1034,45;1456,98;2201,83;6,63
632405;Açaizeiro;44;954;1136,53;1717,57;5,21
721325;Acepilhador de metais;44;1102,13;1552,30;2345,88;7,07
761240;Acertador de maçaroqueira;44;1132,80;1595,49;2411,15;7,25
516210;Acompanhante de idosos;42;954;1216,69;1838,70;5,86
848510;Açougueiro;44;964,03;1357,79;2051,93;6,19
848520;Açougueiro classificador (exclusive comércio);44;954;1248,17;1886,26;5,69
848525;Açougueiro cortador (exclusive comércio);44;954;1296,43;1959,20;5,9
848515;Açougueiro desossador;44;1042,94;1468,93;2219,89;6,69
848510;Açougueiro retalhista;44;964,03;1357,79;2051,93;6,19
376205;Acrobata;44;1020,14;1436,81;2171,35;6,59
322105;Acupuntor;39;1399,70;1971,41;2979,25;10,03
322105;Acupunturista;39;1399,70;1971,41;2979,25;10,03
261505;Adaptador de obras para teatro;34;5814,56;8189,52;12376,24;47,94
141410;Adegueiro;44;1070,09;1507,16;2277,67;6,9
141405;Adeleiro (comércio atacadista);44;954;1334,94;2017,41;6,09
141410;Adeleiro (comércio varejista);44;1070,09;1507,16;2277,67;6,9
623125;Adestrador (eqüinos);44;962,03;1354,97;2047,67;6,17
623105;Adestrador de animais de trabalho ( asininos e muares);44;954;1207,26;1824,44;5,49
252105;Administrador;43;2989,61;4210,72;6363,37;19,81
141505;Administrador (serviço de hospedagem);44;2558,56;3603,60;5445,87;16,49
263105;Administrador apostólico;42;1851,01;2607,06;3939,87;12,49
131210;Administrador de ambulatório;41;5405,04;7612,73;11504,59;36,78
261305;Administrador de arquivos;43;1128,23;1589,05;2401,42;7,38
212305;Administrador de banco de dados;41;4161,78;5861,66;8858,32;28,28
141505;Administrador de camping;44;2558,56;3603,60;5445,87;16,49
141715;Administrador de carteiras de câmbio e comércio exterior;43;5763,75;8117,96;12268,11;37,58
141720;Administrador de carteiras de crédito e cobrança;43;3402,38;4792,09;7241,95;22,14
141725;Administrador de carteiras de crédito imobiliário;43;3324,69;4682,67;7076,59;21,55
142405;Administrador de compras;43;4215,32;5937,06;8972,27;27,35
252210;Administrador de contadorias e registros fiscais;43;2887,87;4067,43;6146,82;18,95
510110;Administrador de edifícios;43;1665,82;2346,23;3545,69;10,8
252105;Administrador de empresas;43;2989,61;4210,72;6363,37;19,81
141505;Administrador de empresas de hospedagem;44;2558,56;3603,60;5445,87;16,49
141120;Administrador de empresas de pesca;44;2127,62;2996,65;4528,63;13,62
252505;Administrador de fundos e carteiras de investimento;42;5011,28;7058,14;10666,48;33,86
131115;Administrador de instituições culturais;42;2938,92;4139,33;6255,48;19,52
252105;Administrador de marketing;43;2989,61;4210,72;6363,37;19,81
142415;Administrador de materiais;44;1894,38;2668,14;4032,17;12,22
252105;Administrador de orçamento;43;2989,61;4210,72;6363,37;19,81
252105;Administrador de patrimônio;43;2989,61;4210,72;6363,37;19,81
252105;Administrador de pequena e média empresa;43;2989,61;4210,72;6363,37;19,81
142210;Administrador de pessoal;43;2266,70;3192,54;4824,66;14,77
252105;Administrador de recursos humanos;43;2989,61;4210,72;6363,37;19,81
252105;Administrador de recursos tecnológicos;43;2989,61;4210,72;6363,37;19,81
212310;Administrador de rede e de sistemas computacionais;42;3210,32;4521,57;6833,14;21,62
212310;Administrador de redes;42;3210,32;4521,57;6833,14;21,62
141510;Administrador de refeitório;44;1518,75;2139,09;3232,66;9,79
141510;Administrador de restaurante;44;1518,75;2139,09;3232,66;9,79
212310;Administrador de sistema operacional de rede;42;3210,32;4521,57;6833,14;21,62
212315;Administrador de sistemas computacionais;42;3160,61;4451,57;6727,34;21,1
212315;Administrador de sistemas operacionais;42;3160,61;4451,57;6727,34;21,1
212315;Administrador de sistemas operacionais de rede;42;3160,61;4451,57;6727,34;21,1
212320;Administrador em segurança da informação;41;4421,91;6228,04;9412,01;30,13
252105;Administrador financeiro;43;2989,61;4210,72;6363,37;19,81
321210;Administrador florestal;43;1381,39;1945,61;2940,27;9
252105;Administrador hospitalar;43;2989,61;4210,72;6363,37;19,81
141415;Administrador no comércio de mercadorias;44;1543,21;2173,53;3284,70;9,92
263105;Administrador paroquial;42;1851,01;2607,06;3939,87;12,49
252105;Administrador público;43;2989,61;4210,72;6363,37;19,81
622020;Adubador;44;954;1183,46;1788,48;5,39
241005;Advogado;41;3059,27;4308,83;6511,64;20,83
241030;Advogado (abuso do poder econômico);42;5030,09;7084,64;10706,52;33,99
241030;Advogado (aeroespacial);42;5030,09;7084,64;10706,52;33,99
241030;Advogado (agente de propriedade industrial);42;5030,09;7084,64;10706,52;33,99
241030;Advogado (ambientalista);42;5030,09;7084,64;10706,52;33,99
241030;Advogado (áreas especiais);42;5030,09;7084,64;10706,52;33,99
241030;Advogado (biodireito);42;5030,09;7084,64;10706,52;33,99
241030;Advogado (concorrência desleal);42;5030,09;7084,64;10706,52;33,99
241030;Advogado (desportivo);42;5030,09;7084,64;10706,52;33,99
241020;Advogado (direito administrativo);41;3343,17;4708,68;7115,90;22,96
241015;Advogado (direito civil);41;2719,03;3829,62;5787,44;18,89
241015;Advogado (direito de família e sucessões);41;2719,03;3829,62;5787,44;18,89
241035;Advogado (direito do trabalho);42;3979,72;5605,24;8470,81;26,93
241030;Advogado (direito internacional);42;5030,09;7084,64;10706,52;33,99
241025;Advogado (direito penal);31;2466,90;3474,50;5250,77;22,18
241020;Advogado (direito público);41;3343,17;4708,68;7115,90;22,96
241030;Advogado (direitos da criança e do adolescente);42;5030,09;7084,64;10706,52;33,99
241030;Advogado (direitos do consumidor);42;5030,09;7084,64;10706,52;33,99
241030;Advogado (energia elétrica);42;5030,09;7084,64;10706,52;33,99
241030;Advogado (propriedade intelectual);42;5030,09;7084,64;10706,52;33,99
