Num_Infracao;Infracao_Descricao;Responsavel;Valor_Multa;;Orgao_Autuador;Artigo;
52070;Dirigir sem atenção ou sem os cuidados indispensáveis à segurança;Condutor;88,38;Consultar o CTB;Municipal/Rodov;169;
53630;Fazer ou deixar que se faça reparo em veículos nas vias (quando não rodovia/transito rápido) ;Condutor;88,38;Consultar o CTB;Municipal/Rodov;179, II;
53980;Estacionar afastado da guia da calçada (meio-fio) de 50cm a 1m;Condutor;88,38;Consultar o CTB;Municipal/Rodov;181 * II;
54440;Estacionar nos acostamentos  ;Condutor;88,38;Consultar o CTB;Municipal/Rodov;181 * VII;
55840;Parar afastado da guia da calçada (meio-fio) de 50cm a 1m;Condutor;88,38;Consultar o CTB;Municipal/Rodov;182 * II;
56060;Parar em desacordo com as posições estabelecidas no CTB;Condutor;88,38;Consultar o CTB;Municipal/Rodov;182 * IV;
56221;Parar no passeio;Condutor;88,38;Consultar o CTB;Municipal/Rodov;182 * VI;
56222;Parar sobre faixa destinada a pedestres;Condutor;88,38;Consultar o CTB;Municipal/Rodov;182 * VI;
56223;Parar nas ilhas ou refúgios;Condutor;88,38;Consultar o CTB;Municipal/Rodov;182 * VI;
56224;Parar nos canteiros centrais/divisores de pista de rolamento;Condutor;88,38;Consultar o CTB;Municipal/Rodov;182 * VI;
56225;Parar nas marcas de canalização;Condutor;88,38;Consultar o CTB;Municipal/Rodov;182 * VI;
56810;"Transitar na faixa/pista da direita regul circulação
exclusiva determ veículo";Condutor;88,38;Consultar o CTB;Municipal/Rodov;184 * I;
59830;"Ultrapassar veículo em movimento que integre
cortejo/desfile/formação militar";Condutor;88,38;Consultar o CTB;Municipal/Rodov;205;
64400;"Fazer uso do facho de luz alta dos faróis em vias
providas de iluminação pública";Condutor;88,38;Consultar o CTB;Municipal/Rodov;224;
64830;"Usar buzina que não a de toque breve como
advertência a pedestre ou condutores";Condutor;88,38;Consultar o CTB;Municipal/Rodov;227 * I;
64910;Usar buzina prolongada e sucessivamente a qualquer pretexto;Condutor;88,38;Consultar o CTB;Municipal/Rodov;227 * II;
65050;Usar buzina entre as vinte e duas e as seis horas;Condutor;88,38;Consultar o CTB;Municipal/Rodov;227 * III;
65130;"Usar buzina em locais e horários proibidos pela
sinalização";Condutor;88,38;Consultar o CTB;Municipal/Rodov;227 * IV;
65210;"Usar buzina em desacordo c/ os padrões e
freqüências estabelecidas pelo Contran";Proprietário;88,38;Consultar o CTB;Municipal/Rodov;227 * V;
69120;"Conduzir veículo sem os documentos de porte
obrigatório referidos no CTB";Condutor;88,38;Consultar o CTB;Estadual/Rodov;232;
70051;Deixar de atualizar o cadastro de registro do veículo;Proprietário;88,38;Consultar o CTB;Estadual;241;
