Índice de Gini da renda domiciliar per capita segundo Município - Bahia;;;
Período: 1991, 2000 e 2010;;;
Município;1991;2000;2010
290010 Abaíra;0,5213;0,54;0,4742
290020 Abaré;0,4651;0,5528;0,5621
290030 Acajutiba;0,5763;0,5753;0,5791
290035 Adustina;0,4387;0,504;0,5478
290040 Água Fria;0,4729;0,545;0,5376
290060 Aiquara;0,6507;0,5532;0,4393
290070 Alagoinhas;0,6135;0,6005;0,5738
290080 Alcobaça;0,5802;0,5539;0,5345
290090 Almadina;0,5139;0,5225;0,4766
290100 Amargosa;0,6071;0,5644;0,5679
290110 Amélia Rodrigues;0,5203;0,573;0,4998
290115 América Dourada;0,5351;0,5686;0,5049
290120 Anagé;0,4248;0,5436;0,4841
290130 Andaraí;0,7107;0,6471;0,6017
290135 Andorinha;0,5302;0,5848;0,5588
290140 Angical;0,4984;0,5078;0,5648
290150 Anguera;0,4727;0,5369;0,4868
290160 Antas;0,5152;0,491;0,562
290170 Antônio Cardoso;0,416;0,5467;0,4583
290180 Antônio Gonçalves;0,5072;0,5217;0,5157
290190 Aporá;0,4696;0,5742;0,5662
290195 Apuarema;0,5276;0,5213;0,4661
290205 Araças;0,4826;0,5415;0,5437
290200 Aracatu;0,4533;0,5639;0,4473
290210 Araci;0,4995;0,5842;0,5667
290220 Aramari;0,5234;0,6012;0,5253
290225 Arataca;0,5095;0,4772;0,4706
290230 Aratuípe;0,4835;0,5583;0,529
290240 Aurelino Leal;0,547;0,5022;0,4588
290250 Baianópolis;0,5514;0,7394;0,5789
290260 Baixa Grande;0,4337;0,5503;0,5444
290265 Banzaê;0,3836;0,4865;0,4716
290270 Barra;0,5908;0,6455;0,5997
290280 Barra da Estiva;0,5337;0,4912;0,5456
290290 Barra do Choça;0,5133;0,3565;0,4452
290300 Barra do Mendes;0,5411;0,541;0,5775
290310 Barra do Rocha;0,5377;0,5776;0,5184
290320 Barreiras;0,621;0,6357;0,5704
290323 Barro Alto;0,4388;0,4807;0,5125
290330 Barro Preto;0,4409;0,4932;0,4917
290327 Barrocas;...;...;0,4672
290340 Belmonte;0,5407;0,5909;0,4979
290350 Belo Campo;0,495;0,5215;0,4972
290360 Biritinga;0,5193;0,5911;0,561
290370 Boa Nova;0,5918;0,5965;0,52
290380 Boa Vista do Tupim;0,8154;0,5872;0,5627
290390 Bom Jesus da Lapa;0,5633;0,6381;0,6048
290395 Bom Jesus da Serra;0,4169;0,5184;0,528
290400 Boninal;0,4737;0,6066;0,5575
290405 Bonito;0,4637;0,417;0,5058
290410 Boquira;0,5884;0,62;0,5357
290420 Botuporã;0,4702;0,6751;0,5334
290430 Brejões;0,4838;0,4649;0,5181
290440 Brejolândia;0,426;0,5506;0,5648
290450 Brotas de Macaúbas;0,5889;0,6897;0,5699
290460 Brumado;0,7113;0,5828;0,5226
290470 Buerarema;0,6048;0,5458;0,576
290475 Buritirama;0,4588;0,7447;0,5531
290480 Caatiba;0,6439;0,3929;0,4059
290485 Cabaceiras do Paraguaçu;0,505;0,5753;0,5455
290490 Cachoeira;0,6558;0,5942;0,5729
290500 Caculé;0,6233;0,6919;0,4835
290510 Caém;0,4547;0,5739;0,5501
290515 Caetanos;0,4391;0,6022;0,5028
290520 Caetité;0,6237;0,6662;0,5993
290530 Cafarnaum;0,5806;0,5696;0,5578
290540 Cairu;0,4227;0,5029;0,5474
290550 Caldeirão Grande;0,4405;0,6348;0,5602
290560 Camacan;0,694;0,6262;0,6244
290570 Camaçari;0,5048;0,5934;0,5458
290580 Camamu;0,5561;0,5997;0,5484
290590 Campo Alegre de Lourdes;0,8375;0,6107;0,6078
290600 Campo Formoso;0,5738;0,6393;0,5713
290610 Canápolis;0,4291;0,5916;0,4979
290620 Canarana;0,6035;0,5936;0,4888
290630 Canavieiras;0,5597;0,6035;0,5197
290640 Candeal;0,447;0,5223;0,442
290650 Candeias;0,5578;0,5626;0,512
290660 Candiba;0,5314;0,5568;0,4461
290670 Cândido Sales;0,4727;0,5407;0,5108
290680 Cansanção;0,7006;0,6567;0,5733
290682 Canudos;0,4552;0,5324;0,5381
290685 Capela do Alto Alegre;0,4156;0,5553;0,4977
290687 Capim Grosso;0,4601;0,5748;0,5493
290689 Caraíbas;0,5322;0,6017;0,493
290690 Caravelas;0,5195;0,7355;0,5873
290700 Cardeal da Silva;0,5769;0,5999;0,5472
290710 Carinhanha;0,4964;0,5816;0,5172
290720 Casa Nova;0,6317;0,556;0,5483
290730 Castro Alves;0,5804;0,5875;0,5494
290740 Catolândia;0,517;0,509;0,5217
290750 Catu;0,5306;0,5803;0,5796
290755 Caturama;0,6921;0,5415;0,5038
290760 Central;0,5865;0,5978;0,5427
290770 Chorrochó;0,5044;0,6666;0,5811
290780 Cícero Dantas;0,5194;0,5693;0,5391
290790 Cipó;0,5705;0,5693;0,5475
290800 Coaraci;0,6257;0,6;0,5638
290810 Cocos;0,5402;0,6157;0,5638
290820 Conceição da Feira;0,574;0,5127;0,5738
290830 Conceição do Almeida;0,565;0,5141;0,5833
290840 Conceição do Coité;0,5635;0,5597;0,4946
290850 Conceição do Jacuípe;0,6072;0,5487;0,4847
290860 Conde;0,4904;0,6211;0,6363
290870 Condeúba;0,7269;0,6362;0,4975
290880 Contendas do Sincorá;0,5759;0,539;0,5144
290890 Coração de Maria;0,523;0,5874;0,5293
290900 Cordeiros;0,4246;0,4912;0,4558
290910 Coribe;0,4716;0,6078;0,5877
290920 Coronel João Sá;0,4451;0,5607;0,4883
290930 Correntina;0,5783;0,62;0,5885
290940 Cotegipe;0,5489;0,5386;0,5599
