Municipio;População residente;População Rural; Unidade Domestica ; Rendimento mensal total domiciliar per capita nominal ;Analfabetismo;Residencia sem Saneamento;Saneamento Semi-Inadequado;Saneamento Inadequado;Pessoas de 10 anos ou mais de idade, ocupadas na semana de referência;Perc Pessoas mais de 10 anos sem rendimento;Perc Pessoas mais de 10 anos com menos 1 salario;Perc Pessoas acima 25 anos sem Instrucao e fundamental incompleto;Economicamente Ativa;Perc Economicamente Ativa - Sem Rendimento;Não Economicamente Ativa;Perc Não Economicamente Ativa - Com Rendimento;IDHM 2010;IDHM Renda 2010;IDHM Longevidade 2010;IDHM Educação 2010;Gini
Aiquara;4602;1922;1359;262;1632;1193;708;1321;1820;32,42;53,38;72,15;2039;14,74;1799;47,55;58,30;52,20;75,30;41,30;43,93
Catolândia;2612;1645;759;251;994;679;3189;1316;921;43,24;45,06;79,72;958;20,23;1243;39,03;58,20;53,50;70,10;43,40;52,17
Contendas do Sincorá;4663;2366;1339;266;1870;1328;2736;1368;1884;34,64;52,42;78,12;2113;17,34;1822;45,30;57,70;52,10;77,50;39,80;51,44
Dom Macedo Costa;3874;2113;1179;295;1248;1600;2205;2096;1572;36,04;48,17;69,00;1772;19,54;1555;45,16;63,20;53,00;74,50;43,80;56,09
Gavião;4561;2023;1355;251;1850;1520;2629;1474;2105;30,26;58,72;74,34;2289;12,55;1640;45,01;59,90;52,30;73,50;43,70;41,10
Ibiquera;4866;2405;1400;202;2088;1644;2626;1900;1630;51,31;39,27;81,77;1797;33,63;2195;34,22;51,10;50,50;71,10;31,90;60,49
Lafaiete Coutinho;3901;1797;1243;256;1640;713;2229;881;1632;32,25;56,18;78,38;1852;15,63;1530;47,61;59,90;55,50;72,60;41,70;51,43
Lajedão;3733;1657;1215;386;1364;339;2087;477;1465;33,26;46,74;76,81;1604;6,97;1550;39,53;63,20;54,80;73,10;43,10;58,53
Lajedinho;3936;2691;1114;195;1566;1616;1615;2057;1382;43,19;48,49;82,15;1571;22,54;1668;37,36;54,60;51,50;78,00;35,80;56,71
Abaíra;8316;4580;2574;292;2622;729;3661;370;3352;35,14;51,01;78,14;3658;21,62;3673;51,39;60,30;51,30;76,90;43,00;47,42
Almadina;6357;1277;1961;259;3018;909;723;749;1769;39,83;48,16;81,37;2075;13,81;3328;43,95;56,30;54,50;71,60;39,20;47,66
Apuarema;7459;2342;2115;261;3348;1722;1680;1142;2809;35,31;51,67;81,11;3203;14,42;2977;42,22;55,20;52,40;72,20;38,60;46,61
Aratuípe;8599;3086;2417;236;3044;2995;2020;1634;3914;33,39;52,64;68,59;4208;13,63;2953;38,45;57,50;51,20;68,50;45,40;52,90
Barra do Rocha;6313;2507;1798;280;2480;1664;1083;1405;2217;37,06;47,55;74,09;2464;11,05;2757;39,68;57,70;53,30;75,40;40,00;51,84
Barro Preto;6453;1158;1953;271;2544;1064;596;865;2140;37,35;48,92;70,05;2436;12,09;3062;42,55;60,20;53,90;76,30;41,10;49,17
Canápolis;9410;6185;2555;206;4112;1619;2950;767;3152;40,63;49,13;78,18;3408;21,34;4298;44,08;56,50;52,50;73,80;40,20;49,79
Candeal;8895;5419;2553;242;3422;4414;2275;2300;4010;35,12;54,86;74,54;4243;19,58;3314;45,00;58,70;53,10;76,20;40,40;44,20
