Municipio;População residente;Perc População Rural; Unidade Domestica ; Rendimento mensal total domiciliar per capita nominal ;Perc Alfabetizacao;Perc Saneamento Adequado;Perc Pessoas de 10 anos ou mais de idade, ocupadas na semana de referência;Perc Pessoas mais de 10 anos com rendimento;Perc Pessoas acima 25 anos com pelo menos fundamento completo;Perc Economicamente Ativa com Rendimento;IDHM 2010;IDHM Faixas;IDHM Renda 2010;IDHM Longevidade 2010;IDHM Educação 2010;Gini
Aiquara;4602;41,76;1359;262;64,54;55,92;83,4;67,58;27,85;53,13;58,3;Médio Baixo;52,2;75,3;41,3;43,93
Catolândia;2612;62,98;759;251;61,94;2,11;84,25;56,76;20,28;43,53;58,2;Médio Baixo;53,5;70,1;43,4;52,17
Contendas do Sincorá;4663;50,74;1339;266;59,9;10,83;84,39;65,36;21,88;53,7;57,7;Médio Baixo;52,1;77,5;39,8;51,44
Dom Macedo Costa;3874;54,54;1179;295;67,79;6,53;85,88;63,96;31;53,26;63,2;Alto;53;74,5;43,8;56,09
Gavião;4561;44,35;1355;251;59,44;10,85;86,14;69,74;25,66;58,27;59,9;Médio Alto;52,3;73,5;43,7;41,1
Ibiquera;4866;49,42;1400;202;57,09;1,64;82,03;48,69;18,23;45,01;51,1;Baixo;50,5;71,1;31,9;60,49
Lafaiete Coutinho;3901;46,07;1243;256;57,96;32,42;86,69;67,75;21,62;54,77;59,9;Médio Alto;55,5;72,6;41,7;51,43
Lajedão;3733;44,39;1215;386;63,46;44,28;84,48;66,74;23,19;50,86;63,2;Alto;54,8;73,1;43,1;58,53
Lajedinho;3936;68,37;1114;195;60,21;20,2;82,3;56,81;17,85;48,49;54,6;Baixo;51,5;78;35,8;56,71
Abaíra;8316;55,07;2574;292;68,47;12,39;88,15;64,86;21,86;49,9;60,3;Médio Alto;51,3;76,9;43;47,42
Almadina;6357;20,09;1961;259;52,52;68,03;85;60,17;18,63;38,4;56,3;Baixo;54,5;71,6;39,2;47,66
Apuarema;7459;31,4;2115;261;55,11;38,68;82,86;64,69;18,89;51,83;55,2;Baixo;52,4;72,2;38,6;46,61
Aratuípe;8599;35,89;2417;236;64,6;20,6;83,28;66,61;31,41;58,76;57,5;Médio Baixo;51,2;68,5;45,4;52,9
Barra do Rocha;6313;39,71;1798;280;60,72;45,94;82,71;62,94;25,91;47,2;57,7;Médio Baixo;53,3;75,4;40;51,84
Barro Preto;6453;17,95;1953;271;60,58;68,25;85,2;62,65;29,95;44,31;60,2;Médio Alto;53,9;76,3;41,1;49,17
Canápolis;9410;65,73;2555;206;56,3;19,22;81,89;59,37;21,82;44,22;56,5;Baixo;52,5;73,8;40,2;49,79
Candeal;8895;60,92;2553;242;61,53;0,59;84,97;64,88;25,46;56,15;58,7;Médio Baixo;53,1;76,2;40,4;44,2
Cardeal da Silva;8899;67,4;2375;218;69,05;12,76;80,7;49;25,29;44,62;55,2;Baixo;52,4;73,6;37,9;54,72
Caturama;8843;73,15;2410;229;56,82;16,51;85,42;63,56;16,31;49,23;57,1;Médio Baixo;56,6;75,9;36,6;50,38
Cordeiros;8168;68,77;2211;254;61,02;0,27;86,47;62,55;18,06;45,32;57,9;Médio Baixo;53,5;74,9;40,7;45,58
Cravolândia;5041;36,92;1464;232;59,49;56,08;82,44;65,99;27,45;56,27;59,9;Médio Alto;55,5;73,5;41,3;53,16
Elísio Medrado;7947;59,13;2558;286;60,66;0,55;85,77;66,58;24,24;59,93;62,3;Alto;56,4;76,8;39,6;50,7
Feira da Mata;6184;47,56;1742;216;66,75;1,78;84,15;55,26;20,36;42,29;58,8;Médio Baixo;56,8;74,8;39;54,67
Firmino Alves;5384;19,45;1602;310;65,64;55,87;83,35;69,91;25,36;51,51;57,8;Médio Baixo;55,8;75,2;38,3;43,75
Gongogi;8357;35,89;2241;220;58,24;57,3;83,28;57,21;24,1;46,72;57,6;Médio Baixo;54,2;76,5;38,7;47,81
Ibirapuã;7956;43,04;2454;395;65,46;44,78;83,22;68,89;25,39;54,56;61,4;Médio Alto;54,3;68,5;46;51,3
Ichu;5255;35,97;1555;283;78,46;0,32;84,69;65,84;34,84;53,19;63,1;Alto;51,6;77,8;43;47,25
Ipupiara;9285;35,61;2730;254;75,62;1,68;85,19;60,98;23,47;47,2;59;Médio Alto;54,6;68,5;44,2;50,52
Irajuba;7002;53,26;2113;238;60,04;2,79;82,35;61,33;22,23;53,3;57,6;Médio Baixo;54,3;69,4;42,6;52,36
Itagimirim;7110;20,55;2166;326;59,55;72,44;82,53;62,23;32,05;49,97;63,4;Alto;56,1;74,8;41,5;52,77
Itaju do Colônia;7309;19,82;2171;265;64,24;63,38;79,87;63,86;27,22;52,5;59,2;Médio Alto;52,9;74,7;42,2;48,25
