IDHM Longevidade 2010,IDHM Renda 2010,Saneamento Inadequado,População Rural,Gini,IDHM Educação 2010,IDHM 2010,Municipio,Selected
continuous,continuous,continuous,continuous,continuous,continuous,continuous,string,discrete
,,,,,,class,meta,meta
75.3,52.2,1321.0,1922.0,43.93,41.3,58.3,Aiquara,No
70.1,53.5,1316.0,1645.0,52.17,43.4,58.2,Catolândia,No
77.5,52.1,1368.0,2366.0,51.44,39.8,57.7,Contendas do Sincorá,No
74.5,53.0,2096.0,2113.0,56.09,43.8,63.2,Dom Macedo Costa,No
73.5,52.3,1474.0,2023.0,41.1,43.7,59.9,Gavião,No
71.1,50.5,1900.0,2405.0,60.49,31.9,51.1,Ibiquera,No
72.6,55.5,881.0,1797.0,51.43,41.7,59.9,Lafaiete Coutinho,No
73.1,54.8,477.0,1657.0,58.53,43.1,63.2,Lajedão,No
78.0,51.5,2057.0,2691.0,56.71,35.8,54.6,Lajedinho,No
76.9,51.3,370.0,4580.0,47.42,43.0,60.3,Abaíra,No
71.6,54.5,749.0,1277.0,47.66,39.2,56.3,Almadina,No
72.2,52.4,1142.0,2342.0,46.61,38.6,55.2,Apuarema,No
68.5,51.2,1634.0,3086.0,52.9,45.4,57.5,Aratuípe,No
75.4,53.3,1405.0,2507.0,51.84,40.0,57.7,Barra do Rocha,No
76.3,53.9,865.0,1158.0,49.17,41.1,60.2,Barro Preto,No
73.8,52.5,767.0,6185.0,49.79,40.2,56.5,Canápolis,No
76.2,53.1,2300.0,5419.0,44.2,40.4,58.7,Candeal,No
73.6,52.4,1083.0,5998.0,54.72,37.9,55.2,Cardeal da Silva,No
75.9,56.6,1850.0,6469.0,50.38,36.6,57.1,Caturama,No
74.9,53.5,1349.0,5617.0,45.58,40.7,57.9,Cordeiros,No
73.5,55.5,965.0,1861.0,53.16,41.3,59.9,Cravolândia,No
76.8,56.4,903.0,4699.0,50.7,39.6,62.3,Elísio Medrado,No
74.8,56.8,1868.0,2941.0,54.67,39.0,58.8,Feira da Mata,No
75.2,55.8,382.0,1047.0,43.75,38.3,57.8,Firmino Alves,No
76.5,54.2,1004.0,2999.0,47.81,38.7,57.6,Gongogi,No
68.5,54.3,1270.0,3424.0,51.3,46.0,61.4,Ibirapuã,No
77.8,51.6,1231.0,1890.0,47.25,43.0,63.1,Ichu,No
68.5,54.6,708.0,3306.0,50.52,44.2,59.0,Ipupiara,No
69.4,54.3,1549.0,3729.0,52.36,42.6,57.6,Irajuba,No
74.8,56.1,565.0,1461.0,52.77,41.5,63.4,Itagimirim,No
74.7,52.9,848.0,1449.0,48.25,42.2,59.2,Itaju do Colônia,No
76.4,53.5,919.0,2064.0,52.32,39.5,57.8,Itamari,No
71.0,53.3,1330.0,5271.0,63.54,43.1,58.4,Itanagra,No
74.9,54.5,939.0,3070.0,57.08,36.0,55.3,Itaquara,No
75.6,54.1,1090.0,5933.0,63.54,41.8,61.3,Jaborandi,No
75.1,56.5,619.0,1598.0,52.63,36.8,56.7,Jussari,No
76.3,55.8,558.0,4963.0,45.87,39.7,60.2,Jussiape,No
68.6,55.3,731.0,3156.0,47.13,42.9,58.4,Lajedo do Tabocal,No
69.9,51.5,2780.0,7475.0,50.27,35.9,51.8,Lamarão,No
74.7,53.3,2115.0,5213.0,54.67,42.7,60.4,Macururé,No
69.4,50.3,2117.0,4221.0,46.07,38.4,53.8,Maetinga,No
75.3,53.5,939.0,1866.0,47.03,45.3,57.6,Maiquinique,No
78.9,55.4,2476.0,5234.0,48.43,37.0,57.8,Malhada de Pedras,No
69.5,55.2,1454.0,2742.0,55.57,39.5,55.8,Morpará,No
76.3,55.2,1220.0,3923.0,52.03,40.7,61.7,Muniz Ferreira,No
