IDHM Renda 2010,Perc Saneamento Adequado,Perc Economicamente Ativa com Rendimento,Gini,"Perc Pessoas de 10 anos ou mais de idade, ocupadas na semana de referência",IDHM Educação 2010,IDHM 2010,Municipio,Selected
continuous,continuous,continuous,continuous,continuous,continuous,continuous,string,discrete
,,,,,class,meta,meta,meta
52.2,55.92,53.13,43.93,83.4,41.3,58.3,Aiquara,No
53.5,2.11,43.53,52.17,84.25,43.4,58.2,Catolândia,No
52.1,10.83,53.7,51.44,84.39,39.8,57.7,Contendas do Sincorá,No
53.0,6.53,53.26,56.09,85.88,43.8,63.2,Dom Macedo Costa,No
52.3,10.85,58.27,41.1,86.14,43.7,59.9,Gavião,No
50.5,1.64,45.01,60.49,82.03,31.9,51.1,Ibiquera,No
55.5,32.42,54.77,51.43,86.69,41.7,59.9,Lafaiete Coutinho,No
54.8,44.28,50.86,58.53,84.48,43.1,63.2,Lajedão,No
51.5,20.2,48.49,56.71,82.3,35.8,54.6,Lajedinho,No
51.3,12.39,49.9,47.42,88.15,43.0,60.3,Abaíra,No
54.5,68.03,38.4,47.66,85.0,39.2,56.3,Almadina,No
52.4,38.68,51.83,46.61,82.86,38.6,55.2,Apuarema,No
51.2,20.6,58.76,52.9,83.28,45.4,57.5,Aratuípe,No
53.3,45.94,47.2,51.84,82.71,40.0,57.7,Barra do Rocha,No
53.9,68.25,44.31,49.17,85.2,41.1,60.2,Barro Preto,No
52.5,19.22,44.22,49.79,81.89,40.2,56.5,Canápolis,No
53.1,0.59,56.15,44.2,84.97,40.4,58.7,Candeal,No
52.4,12.76,44.62,54.72,80.7,37.9,55.2,Cardeal da Silva,No
56.6,16.51,49.23,50.38,85.42,36.6,57.1,Caturama,No
53.5,0.27,45.32,45.58,86.47,40.7,57.9,Cordeiros,No
55.5,56.08,56.27,53.16,82.44,41.3,59.9,Cravolândia,No
56.4,0.55,59.93,50.7,85.77,39.6,62.3,Elísio Medrado,No
56.8,1.78,42.29,54.67,84.15,39.0,58.8,Feira da Mata,No
55.8,55.87,51.51,43.75,83.35,38.3,57.8,Firmino Alves,No
54.2,57.3,46.72,47.81,83.28,38.7,57.6,Gongogi,No
54.3,44.78,54.56,51.3,83.22,46.0,61.4,Ibirapuã,No
51.6,0.32,53.19,47.25,84.69,43.0,63.1,Ichu,No
54.6,1.68,47.2,50.52,85.19,44.2,59.0,Ipupiara,No
54.3,2.79,53.3,52.36,82.35,42.6,57.6,Irajuba,No
56.1,72.44,49.97,52.77,82.53,41.5,63.4,Itagimirim,No
52.9,63.38,52.5,48.25,79.87,42.2,59.2,Itaju do Colônia,No
53.5,37.66,55.26,52.32,82.27,39.5,57.8,Itamari,No
53.3,19.02,48.88,63.54,79.74,43.1,58.4,Itanagra,No
54.5,54.5,48.52,57.08,85.3,36.0,55.3,Itaquara,No
54.1,30.56,50.18,63.54,86.74,41.8,61.3,Jaborandi,No
56.5,65.32,44.46,52.63,82.98,36.8,56.7,Jussari,No
55.8,13.81,54.03,45.87,87.84,39.7,60.2,Jussiape,No
55.3,0.62,51.37,47.13,83.23,42.9,58.4,Lajedo do Tabocal,No
51.5,15.7,51.3,50.27,82.52,35.9,51.8,Lamarão,No
53.3,0.33,50.47,54.67,81.33,42.7,60.4,Macururé,No
50.3,24.57,57.36,46.07,85.16,38.4,53.8,Maetinga,No
53.5,71.19,53.51,47.03,82.93,45.3,57.6,Maiquinique,No
55.4,9.38,47.54,48.43,85.4,37.0,57.8,Malhada de Pedras,No
55.2,3.26,44.41,55.57,83.1,39.5,55.8,Morpará,No
55.2,19.39,51.74,52.03,86.1,40.7,61.7,Muniz Ferreira,No
56.3,60.59,53.48,44.32,85.98,38.6,59.7,Nova Fátima,No
52.2,33.09,55.31,56.35,82.75,39.2,57.0,Nova Ibiá,No
51.4,2.67,41.04,56.03,81.56,34.3,52.4,Nova Itarana,No
53.9,5.38,52.02,50.95,83.55,37.4,56.7,Nova Redenção,No
57.0,14.03,59.5,45.52,85.45,40.5,60.7,Ouriçangas,No
55.7,27.41,56.38,58.34,81.58,41.3,64.3,Palmeiras,No
48.8,1.81,51.16,47.53,84.15,44.5,58.8,Pedrão,No
53.4,18.88,53.52,49.41,80.99,40.3,53.3,Piraí do Norte,No
53.6,0.43,57.09,56.31,84.84,40.9,57.2,Planaltino,No
50.3,74.29,54.58,49.47,83.07,45.7,62.5,Potiraguá,No
52.6,3.66,55.67,50.53,83.74,43.2,57.8,Quixabeira,No
48.9,28.71,52.78,47.18,81.05,35.4,54.0,Ribeirão do Largo,No
55.9,79.27,44.74,55.58,80.07,40.6,63.2,Rodelas,No
54.8,71.83,36.08,58.19,84.7,43.9,61.0,Santa Cruz da Vitória,No
