IDHM Educação 2010,Gini,Perc Saneamento Adequado,"Perc Pessoas de 10 anos ou mais de idade, ocupadas na semana de referência",Perc Pessoas mais de 10 anos com rendimento,População residente,IDHM 2010,Municipio,Neural Network,Selected
continuous,continuous,continuous,continuous,continuous,continuous,continuous,string,continuous,discrete
,,,,,,class,meta,meta,meta
41.3,43.93,55.92,83.4,67.58,4602.0,58.3,Aiquara,57.593079533233805,No
43.4,52.17,2.11,84.25,56.76,2612.0,58.2,Catolândia,56.82823701970558,No
39.8,51.44,10.83,84.39,65.36,4663.0,57.7,Contendas do Sincorá,57.58619167571675,No
43.8,56.09,6.53,85.88,63.96,3874.0,63.2,Dom Macedo Costa,60.18809729210799,No
43.7,41.1,10.85,86.14,69.74,4561.0,59.9,Gavião,57.46468152594305,No
31.9,60.49,1.64,82.03,48.69,4866.0,51.1,Ibiquera,53.80948065160959,No
41.7,51.43,32.42,86.69,67.75,3901.0,59.9,Lafaiete Coutinho,60.60135252224558,No
43.1,58.53,44.28,84.48,66.74,3733.0,63.2,Lajedão,61.84365338625967,No
35.8,56.71,20.2,82.3,56.81,3936.0,54.6,Lajedinho,55.896811939503564,No
43.0,47.42,12.39,88.15,64.86,8316.0,60.3,Abaíra,59.42764762033882,No
39.2,47.66,68.03,85.0,60.17,6357.0,56.3,Almadina,58.35551950169205,No
38.6,46.61,38.68,82.86,64.69,7459.0,55.2,Apuarema,56.21040865605094,No
45.4,52.9,20.6,83.28,66.61,8599.0,57.5,Aratuípe,59.226686402484596,No
40.0,51.84,45.94,82.71,62.94,6313.0,57.7,Barra do Rocha,57.84118750430709,No
41.1,49.17,68.25,85.2,62.65,6453.0,60.2,Barro Preto,59.69916604318164,No
40.2,49.79,19.22,81.89,59.37,9410.0,56.5,Canápolis,55.23274483538492,No
40.4,44.2,0.59,84.97,64.88,8895.0,58.7,Candeal,55.675177226158716,No
37.9,54.72,12.76,80.7,49.0,8899.0,55.2,Cardeal da Silva,53.431208520751944,No
36.6,50.38,16.51,85.42,63.56,8843.0,57.1,Caturama,57.125110566680945,No
40.7,45.58,0.27,86.47,62.55,8168.0,57.9,Cordeiros,56.59160397061713,No
41.3,53.16,56.08,82.44,65.99,5041.0,59.9,Cravolândia,59.21959400711897,No
39.6,50.7,0.55,85.77,66.58,7947.0,62.3,Elísio Medrado,57.9140128159121,No
39.0,54.67,1.78,84.15,55.26,6184.0,58.8,Feira da Mata,56.17156193324602,No
38.3,43.75,55.87,83.35,69.91,5384.0,57.8,Firmino Alves,57.18676183997022,No
38.7,47.81,57.3,83.28,57.21,8357.0,57.6,Gongogi,56.39386066962477,No
46.0,51.3,44.78,83.22,68.89,7956.0,61.4,Ibirapuã,60.25791627780424,No
43.0,47.25,0.32,84.69,65.84,5255.0,63.1,Ichu,57.04333484611581,No
44.2,50.52,1.68,85.19,60.98,9285.0,59.0,Ipupiara,57.77366756968577,No
42.6,52.36,2.79,82.35,61.33,7002.0,57.6,Irajuba,56.34860583146806,No
41.5,52.77,72.44,82.53,62.23,7110.0,63.4,Itagimirim,59.30763112206337,No
42.2,48.25,63.38,79.87,63.86,7309.0,59.2,Itaju do Colônia,56.636947553320894,No
39.5,52.32,37.66,82.27,68.08,7903.0,57.8,Itamari,58.06064003900768,No
43.1,63.54,19.02,79.74,54.66,7598.0,58.4,Itanagra,57.523702467104826,No
36.0,57.08,54.5,85.3,55.05,7678.0,55.3,Itaquara,58.90880272019558,No
41.8,63.54,30.56,86.74,56.94,8973.0,61.3,Jaborandi,62.08029944653137,No
36.8,52.63,65.32,82.98,58.24,6474.0,56.7,Jussari,57.53128146795229,No
39.7,45.87,13.81,87.84,71.71,8031.0,60.2,Jussiape,59.20426462773521,No
42.9,47.13,0.62,83.23,63.26,8305.0,58.4,Lajedo do Tabocal,55.76726359278771,No
35.9,50.27,15.7,82.52,52.97,9560.0,51.8,Lamarão,53.589681099426514,No
42.7,54.67,0.33,81.33,56.82,8073.0,60.4,Macururé,55.59066673122293,No
38.4,46.07,24.57,85.16,64.57,7038.0,53.8,Maetinga,56.745995573331754,No
45.3,47.03,71.19,82.93,67.5,8782.0,57.6,Maiquinique,59.68188776867548,No
37.0,48.43,9.38,85.4,58.62,8468.0,57.8,Malhada de Pedras,55.63350712450746,No
39.5,55.57,3.26,83.1,54.2,8280.0,55.8,Morpará,55.81955311247765,No
40.7,52.03,19.39,86.1,64.41,7317.0,61.7,Muniz Ferreira,59.1414859104547,No
38.6,44.32,60.59,85.98,67.63,7602.0,59.7,Nova Fátima,58.76196577519742,No
39.2,56.35,33.09,82.75,68.77,6648.0,57.0,Nova Ibiá,59.23997071344688,No
34.3,56.03,2.67,81.56,54.97,7435.0,52.4,Nova Itarana,53.948399984001924,No
37.4,50.95,5.38,83.55,56.81,8034.0,56.7,Nova Redenção,54.87563606110176,No
40.5,45.52,14.03,85.45,65.53,8298.0,60.7,Ouriçangas,56.97202683238608,No
41.3,58.34,27.41,81.58,64.64,8410.0,64.3,Palmeiras,58.70163773551644,No
44.5,47.53,1.81,84.15,57.1,6876.0,58.8,Pedrão,55.85866306537953,No
40.3,49.41,18.88,80.99,62.94,9799.0,53.3,Piraí do Norte,55.18046147386168,No
